Student Id,Student Name,Gender,Birthday,Zip Code,Assignment Type,Subject Category,Available Points,Points Recieved,Homework assigned,Homework Submitted,Homework Assigned,Homework Duration
87.0,Lindsay Obrien,Female,2003-07-13,32203.0,Virtual,Academics,10.0,8.0,,2023-10-25,2023-10-24,1.0
35.0,Corey Hill,Male,2004-10-08,32205.0,In-Person,History and Tradition,50.0,16.0,2023-10-28,2023-10-28,,
82.0,Christian Brown,Male,2001-08-19,32204.0,Virtual,Health & Wellness,40.0,26.0,2023-10-29,2023-10-30,,
73.0,Kirsten Hampton,Female,2002-04-12,32034.0,In-Person,Creativity(STEM),20.0,0.0,,2023-10-28,2023-10-24,4.0
3.0,Crystal Baker,Female,2002-02-13,32205.0,Virtual,History and Tradition,50.0,4.0,,2023-10-30,2023-10-30,0.0
97.0,Donna Mendoza,Female,2006-06-11,32205.0,Virtual,Creativity(STEM),20.0,9.0,,2023-10-24,2023-10-19,5.0
44.0,Anna Wallace,Female,2005-09-14,32034.0,Virtual,Health & Wellness,40.0,4.0,,2023-10-25,2023-10-22,3.0
27.0,Chelsea Flynn,Female,2004-03-12,32205.0,Virtual,Creativity(STEM),20.0,4.0,,2023-10-29,2023-10-28,1.0
50.0,Edward White,Male,2000-11-17,32034.0,In-Person,Health & Wellness,40.0,30.0,2023-10-17,2023-10-17,,
48.0,Nicholas Henderson,Male,2005-03-21,32204.0,Virtual,Health & Wellness,40.0,30.0,2023-10-30,2023-10-30,,
30.0,Jennifer Dalton,Female,2004-11-26,32034.0,Virtual,Creativity(STEM),20.0,16.0,,2023-10-24,2023-10-20,4.0
98.0,Timothy Lawrence,Male,2001-07-15,32203.0,In-Person,History and Tradition,50.0,44.0,2023-10-26,2023-10-26,,
70.0,Sharon Hernandez,Female,2003-09-27,32202.0,In-Person,History and Tradition,50.0,23.0,,2023-10-22,2023-10-19,3.0
8.0,Amanda Meadows,Female,2006-04-25,32205.0,Virtual,Academics,10.0,7.0,,2023-10-28,2023-10-27,1.0
80.0,Kristin Carter,Female,2000-12-19,32202.0,Virtual,Health & Wellness,40.0,17.0,,2023-10-28,2023-10-22,6.0
51.0,Brenda Alvarez,Female,2001-04-06,32201.0,In-Person,Business & Finance,30.0,20.0,,2023-10-25,2023-10-20,5.0
85.0,Richard Sherman,Male,2005-07-31,32202.0,Virtual,Business & Finance,30.0,29.0,2023-10-18,2023-10-24,,
89.0,John Bryant,Male,2001-07-16,32202.0,In-Person,Academics,10.0,8.0,2023-10-17,2023-10-30,,
10.0,Lindsey Murray,Female,2000-11-11,32203.0,In-Person,Health & Wellness,40.0,6.0,,2023-10-29,2023-10-29,0.0
47.0,Ryan Hogan,Male,2004-08-12,32034.0,Virtual,Business & Finance,30.0,12.0,2023-10-19,2023-10-19,,
83.0,Matthew Dean,Male,2002-08-09,32202.0,Virtual,Health & Wellness,40.0,8.0,2023-10-23,2023-10-23,,
47.0,Audrey Collins,Female,2005-06-02,32205.0,Virtual,Creativity(STEM),20.0,5.0,,2023-10-30,2023-10-28,2.0
60.0,Steven Lynch,Male,2001-08-02,32201.0,In-Person,History and Tradition,50.0,20.0,2023-10-27,2023-10-27,,
58.0,Jamie Adams,Female,2001-04-15,32203.0,Virtual,History and Tradition,50.0,8.0,,2023-10-29,2023-10-25,4.0
39.0,Madison Turner,Female,2003-08-30,32202.0,Virtual,Academics,10.0,8.0,,2023-10-30,2023-10-24,6.0
85.0,Steven Foster,Male,2004-09-10,32034.0,Virtual,Academics,10.0,9.0,2023-10-28,2023-10-28,,
7.0,Rodney King,Male,2005-01-27,32204.0,In-Person,Academics,10.0,4.0,2023-10-23,2023-10-28,,
91.0,Sue Thompson,Female,2004-03-15,32202.0,In-Person,Academics,10.0,4.0,,2023-10-23,2023-10-19,4.0
36.0,James Olson,Male,2002-06-17,32034.0,Virtual,Creativity(STEM),20.0,9.0,2023-10-29,2023-10-30,,
88.0,Paul Bradshaw Jr.,Male,2003-07-19,32202.0,In-Person,Academics,10.0,8.0,2023-10-19,2023-10-22,,
57.0,Samuel Lopez,Male,2004-03-29,32034.0,In-Person,History and Tradition,50.0,16.0,2023-10-21,2023-10-27,,
47.0,Michelle Hawkins,Female,2002-01-15,32202.0,In-Person,Health & Wellness,40.0,10.0,,2023-10-21,2023-10-18,3.0
30.0,Kristen Howard,Female,2001-04-06,32034.0,In-Person,History and Tradition,50.0,18.0,,2023-10-30,2023-10-29,1.0
100.0,Daniel Salazar,Male,2005-01-03,32034.0,In-Person,Health & Wellness,40.0,11.0,2023-10-17,2023-10-24,,
14.0,David Barber,Male,2005-09-28,32205.0,In-Person,History and Tradition,50.0,29.0,2023-10-29,2023-10-29,,
98.0,James Black,Male,2003-12-24,32034.0,In-Person,Health & Wellness,40.0,13.0,2023-10-20,2023-10-23,,
12.0,Amanda Byrd,Female,2006-03-03,32034.0,In-Person,Academics,10.0,9.0,,2023-10-29,2023-10-20,9.0
75.0,Alfred Johnson,Male,2004-07-24,32204.0,Virtual,Business & Finance,30.0,16.0,2023-10-25,2023-10-26,,
19.0,James Myers,Male,2006-01-02,32204.0,In-Person,History and Tradition,50.0,40.0,2023-10-22,2023-10-23,,
3.0,Stephanie Jackson,Female,2003-06-02,32201.0,In-Person,Creativity(STEM),20.0,4.0,,2023-10-25,2023-10-20,5.0
